EPISODE,distance_traversed,mean_speed,std_speed,mean_track,std_track,reward_runn,fuel_start,fuel_end,fuel_consumed,rew_fuel
0,26455.118017569996,0.391516009779358,0.16859132481870187,-0.09312070192303508,0.41707110142375653,59990.977,93.9994,93.5319,0.46749878,128323.27832384022
1,32249.88258143,0.3787756667763657,0.1487149580520802,-0.022191784357429918,0.41547868685865175,65478.11,93.9991,93.7287,0.270401,262444.43772762734
2,32537.985993430008,0.39223178980942064,0.15835141985364015,-0.08708394525589747,0.3906098654021635,69040.414,93.9991,93.6618,0.33730316,225805.86336211933
3,106178.22595735997,0.4212792592103043,0.1285275681944066,-0.06188392370440148,0.358880920970924,88107.27,93.9991,93.447,0.55210114,263190.62524904934
4,110087.42247329002,0.44228185187051183,0.14013440481671052,-0.058066726687804354,0.39381796681753073,99038.61,93.9991,93.4628,0.53630066,266201.35146187845
5,167054.78362628986,0.445262921407012,0.12669446262921794,-0.11148509370118044,0.351195054629715,114111.14,93.9991,93.4035,0.5955963,318124.5608989297
6,160664.36819543,0.45516888650358484,0.1337302568611238,0.01835543263032166,0.4023045875718782,123450.234,93.9991,93.3959,0.6032028,297552.9524609011
7,733866.9327573595,0.45842956707276233,0.093688100715806,-0.0448336136159842,0.37058095739202995,155313.33,93.9991,92.7688,1.2303009,307530.46090028225
8,286879.19374057004,0.4832493874657436,0.12725757084777134,-0.007189958879559398,0.33893222138607815,168518.44,93.9991,93.2509,0.74819946,366425.38834821957
9,152359.99798942998,0.4716976776043953,0.14520887725669934,-0.09825779813913188,0.395226354462777,169554.52,93.9991,93.395,0.6041031,296107.11389700667
10,350271.83762428985,0.49804074404319704,0.12662043431853792,-0.14987624242907216,0.35792441661024865,180033.03,93.9991,93.0959,0.90319824,315344.0159210249
11,741956.6557194999,0.4594117332073536,0.0937371140145784,0.05767840990912581,0.37638581299016877,197013.88,93.9991,92.9747,1.0243988,374661.82649519434
12,366979.1723685701,0.48936605779438513,0.12239883752354098,-0.026021487100523003,0.38426513697048864,203832.66,93.9991,93.1006,0.89849854,317928.1347143902
13,560418.8177214299,0.5106174433436909,0.11506065627231825,-0.0838443651586624,0.45819958922814435,211197.39,93.9991,92.8065,1.1925964,257370.3725483735
14,709362.9576954304,0.46083577151014776,0.09470908662155407,-0.018401179181998722,0.35088758150583516,223689.95,93.9991,93.0176,0.9814987,406099.2436869368
15,901427.2711872903,0.5213203568195213,0.10676360925114761,-0.11097719030958635,0.3880660633055079,237414.8,93.9991,92.5503,1.4487991,305968.8808224864
16,380296.82528656983,0.49455814140907395,0.12288599693198347,-0.08960678498704164,0.39398782689606837,240093.31,93.9991,93.1209,0.8781967,322193.77353839
17,374688.6784264302,0.4933940747131665,0.1247920937866665,0.040006627820473976,0.464870366073845,241020.52,93.9991,93.1476,0.85150146,301564.9108746064
18,983863.94577522,0.4734828411901218,0.09362537112655421,-0.037081640485860226,0.3367310968628167,254120.06,93.9991,92.7845,1.2145996,403352.6754601085
19,1008918.2715946402,0.5186492737893756,0.10366433312516357,0.024830674691653183,0.4402618882645527,263321.22,93.9991,92.4778,1.5213013,288005.48179021943
20,755400.17264029,0.4573775838866201,0.09113089904979338,0.10726212101471093,0.3446631200997151,270081.84,93.9991,93.0446,0.9544983,424615.25173369405
21,153109.6198161501,0.4715066816633833,0.1441718998857106,0.01591286352545401,0.3653866388341921,266417.94,93.9991,93.4082,0.5908966,320658.0524829158
22,160190.29920529,0.4592360615868409,0.13606640209422632,-0.031674714436130076,0.36421955308334986,263601.06,93.9991,93.4304,0.5687027,354543.93694172194
23,359587.6394124298,0.503936222492971,0.12584255738374503,-0.1786431538766799,0.4092044165438356,263471.22,93.9991,93.138,0.86109924,302502.3392846097
24,911109.97755443,0.5167042802524406,0.10628821215305077,-0.1128610059162721,0.4190241468958247,269850.44,93.9991,92.5857,1.4133987,299244.68943095015
25,713236.2415604303,0.4664635163926725,0.09751663156425971,0.0220303850154418,0.3675659207208583,275003.97,93.9991,93.024,0.97509766,414155.59227631055
26,364020.4802194299,0.5015552594198468,0.12514047500238143,-0.0922997669729053,0.3917339198289546,275054.9,93.9991,93.1514,0.847702,326033.6446699943
27,926201.8939464998,0.5146862813502346,0.1048987106192439,-0.08068123073336758,0.3793414640720072,281685.1,93.9991,92.5876,1.411499,326390.8562841754
28,149466.51385929005,0.47097757399479073,0.1444375562007001,0.10965141118960638,0.4125181281617441,277941.9,93.9991,93.4065,0.59259796,292158.66810520325
29,930382.5695254997,0.5127627134474086,0.10515916503014038,-0.042547734922686875,0.4078783096654266,283782.72,93.9991,92.6281,1.3710022,330536.4560252028
30,632882.7603202899,0.45505739160466535,0.09359250494498665,0.09783400728751172,0.3136270361549433,287249.97,93.9991,93.1461,0.8529968,458697.6391820469
31,394774.58652457,0.4721060415557931,0.11636204053308837,-0.05037182182192839,0.3611499524686426,287825.44,93.9991,93.2244,0.77469635,394560.6584948633
32,151230.17939236006,0.47249736128766245,0.14413491931264938,0.014534748709624316,0.3889104868063294,284621.8,93.9991,93.4064,0.59269714,307249.415208071
33,152930.52432957006,0.46133729227520204,0.13866919822857277,-0.01958573851444754,0.37694472055129674,281661.44,93.9991,93.425,0.5740967,320449.92271323514
34,1919433.4231592885,0.5287397585505961,0.09095139981676481,-0.11834968511749434,0.44191524837182705,289907.16,93.9991,91.7916,2.2074966,258329.4575933324
35,634233.1510705699,0.45128524855399244,0.09126167138043868,0.11433428148823195,0.3026286320958958,292699.22,93.9991,93.1574,0.8416977,463849.93402535334
36,376150.80049729004,0.49476808303629616,0.122957850260865,-0.07010602479586348,0.4019428970078428,292309.12,93.9991,93.1815,0.81759644,340345.4538219082
37,653719.62157536,0.5094410043932353,0.11219474977704076,-0.030452358394233388,0.4176459810360939,294392.56,93.9991,92.8649,1.134201,327525.10663188074
38,544175.3033514997,0.5240828043370469,0.11714099267365836,-0.16948887941479268,0.3909938555196505,295387.3,93.9991,92.9081,1.0910034,305395.4624757127
39,907981.8734115001,0.5224317252509085,0.10624029000826328,-0.04384625146052838,0.39121053291335117,299236.56,93.9991,92.6465,1.3526001,332217.23048128065
40,1567744.97490529,0.4931941673246857,0.0927488187148784,0.007013157250800065,0.353569619402506,307144.38,93.9991,92.3457,1.6533966,377076.4749567676
41,156617.05946843003,0.4556407178892763,0.13648034702911102,0.03963537196882349,0.3904319693289181,304166.44,93.9991,93.4425,0.5566025,327112.232273533
42,715352.9934813597,0.46171449438392187,0.09525409418264363,0.1359493734940172,0.3090162680191771,306687.44,93.9991,93.0806,0.9185028,449175.7252706092
43,150796.25950257006,0.46348256705466107,0.14009738092032728,-0.04382145441708645,0.41795376376536164,303642.16,93.9991,93.4397,0.55940247,308714.21896201186
44,1048831.2353385696,0.5204982649287381,0.102708771181607,-0.11974571178661426,0.4213913296712083,306910.97,93.9991,92.507,1.492096,302084.4713011959
45,572781.33195457,0.5069050448844747,0.11594658108553677,-0.01397556038979914,0.39774594401271957,308013.84,93.9991,92.9649,1.0342026,345814.8841777161
46,652448.7972144302,0.5174200425613377,0.11274751062688905,-0.10425985742316954,0.4083065515638377,309343.8,93.9991,92.8761,1.1230011,329938.8144791601
47,156626.77189522,0.4545714599043061,0.1349544784014427,-0.016323730544932625,0.35104318986829375,306964.84,93.9991,93.4378,0.5613022,347678.777355221
48,914941.7409772892,0.5205751263060259,0.10801948304494083,-0.1574570788740567,0.3830071090506146,309773.5,93.9991,92.5954,1.4037018,316726.4931532816
49,552531.7175085696,0.5141809107626759,0.11667817677606598,-0.14312817167956382,0.3930396370919489,310453.62,93.9991,92.9612,1.0379028,331224.8805818459
50,550708.54778857,0.506383889643978,0.1165886843393992,-0.07636314866439173,0.3903376306958846,311314.03,93.9991,92.9857,1.0133972,349649.4662685867
51,561675.9115954301,0.5055622704374075,0.11581440079059258,-0.12532613735915066,0.3942967603794789,312095.25,93.9991,92.9782,1.0208969,344734.0670959125
52,152421.55977043003,0.4720149696944463,0.14419204596528806,0.007813301379340293,0.41566559119434054,309590.94,93.9991,93.3995,0.59960175,299142.7716564476
53,971709.0986195002,0.480286905871142,0.09672356173389253,0.03243883246388027,0.3494322074425335,312784.0,93.9991,92.7997,1.1994019,401880.42056204256
54,552570.4424284297,0.5044528821064505,0.11579181396763047,-0.014276735618181187,0.3717402626390588,313782.62,93.9991,93.0078,0.9913025,370935.06486846757
55,905102.1536752903,0.51697057523154,0.10587439257439889,-0.11282572184209752,0.38999411678575213,315941.5,93.9991,92.6452,1.3538971,321058.0134375063
56,155821.10516342998,0.4606282441388618,0.1389738174591146,-0.024759704013599986,0.3850792214085004,313555.56,93.9991,93.4206,0.57849884,311051.7078149479
57,565760.85160336,0.5129999648235579,0.11562292835598306,-0.13399557191435368,0.39406361358761804,314133.7,93.9991,92.9529,1.046196,331761.5667974985
58,153892.99619442993,0.4550987767236276,0.1353762948491196,-0.04275945655260041,0.39974236484582654,311743.53,93.9991,93.4374,0.5616989,308199.038174257
59,729514.9167694305,0.46103957516361915,0.0946494797175576,0.004576232434939468,0.35415641855409347,313352.1,93.9991,93.0692,0.9299011,439033.197485363
60,1026689.7322255704,0.46216635373494236,0.0872112516776954,-0.033189140381309316,0.3436628954685033,316128.7,93.9991,92.8861,1.112999,433714.64105800254
61,365902.36605722015,0.5017404369405231,0.12532873311666337,-0.1711171947501819,0.4013985638068634,315390.16,93.9991,93.1603,0.8387985,322294.3659789582
62,718015.3240055698,0.4617349089602196,0.09531705901509659,-0.00733862742728723,0.35020447203048194,316805.38,93.9991,93.0638,0.93530273,432531.8565031746
63,666593.7231624299,0.5068801162626222,0.11150257711438379,-0.08254416306041165,0.3427953225930447,318306.56,93.9991,92.8907,1.1083984,372501.8804769851
64,662663.9651334293,0.5115530338257759,0.11216290519945353,-0.12173060779670129,0.396346462377635,319244.28,93.9991,92.8943,1.1047974,343283.1707394666
65,24213.06451757001,0.42260199717986324,0.1973290555730562,0.002918452604059526,0.4540658172610691,315300.53,93.9991,93.5518,0.44729614,131805.09805334403
66,381744.28352722025,0.4936650595733849,0.12353294668337658,-0.033854248930907084,0.432259077037653,314668.28,93.9991,93.1492,0.8498993,321143.6478666104
67,2119375.905839498,0.5312780207588695,0.08975832270580764,-0.12070417685112614,0.4023159509519412,319542.78,93.9991,91.8536,2.1455002,301157.7599558936
68,570025.69404415,0.5074558208082638,0.11511654877439001,0.04375735518585722,0.4289382012892573,319803.56,93.9991,92.9555,1.043602,323434.08938401187
69,1425568.9134054298,0.5349214801781076,0.10537291949808296,-0.03881477893446572,0.4542009045062653,322537.84,93.9991,92.0427,1.956398,261297.7109041487
70,907386.122009569,0.5155215769574445,0.10541853998800159,-0.030548454113065813,0.359804645298805,324676.2,93.9991,92.6193,1.3797989,343790.0358796135
71,1361002.39637122,0.5247561655095897,0.0979634609286929,-0.11814430923674236,0.4035890846385575,327510.16,93.9991,92.3287,1.6704025,316524.2287591193
72,669481.1758354998,0.5093517769381605,0.111565203775731,-0.04423240386678995,0.37356193518528197,328512.88,93.9991,92.886,1.1130981,359993.26831214404
73,380805.9594862197,0.4940635349265076,0.12257859748376411,-0.10064557933817721,0.38289762097117297,328048.22,93.9991,93.1708,0.8283005,355098.30148225924
74,911693.2338853597,0.5159159134960847,0.10529738341823716,-0.1084806863326292,0.3960032427687853,329613.66,93.9991,92.6321,1.3669968,325864.2949150989
75,989272.2189264293,0.47500131350045594,0.09423096241771574,-0.012717401608699653,0.347553065009588,331711.3,93.9991,92.8043,1.1948013,409301.8927684781
76,1043740.46523043,0.5195734149247275,0.10279878132562667,-0.11781497604648988,0.38986080204309836,333709.06,93.9991,92.5309,1.4682007,330702.54673557566
77,971981.2151696401,0.4749479840503307,0.09454134845670684,0.007859045501318898,0.3840259193199601,335249.6,93.9991,92.8571,1.1419983,397435.8907547746
78,683804.9560795,0.49287288236687854,0.10820947344477799,-0.1068885938957378,0.4052528591359687,335786.75,93.9991,92.9521,1.0469971,360732.6676573088
79,1113293.6644014292,0.4786482009602074,0.09344103973964789,-0.017650763028483927,0.3381799129562998,338134.94,93.9991,92.761,1.2380981,422940.2990002606
80,640551.6590143597,0.515818636257176,0.11398513464207968,0.01783849773479408,0.4192486049176607,338414.97,93.9991,92.8857,1.1134033,324067.5666453438
