EPISODE,distance_traversed,mean_speed,std_speed,mean_track,std_track,reward_runn,fuel_start,fuel_end,fuel_consumed,rew_fuel
93,1007621.8899465004,0.4666141781450507,0.09049746266779417,0.060534563669182175,0.346104703241252,620546.56,93.9991,92.8452,1.1539001,864157.800567719
94,626595.2580754303,0.45531008092675873,0.09389150380618959,0.006531432895643803,0.31995429278072074,622463.3,93.9991,93.1459,0.8532028,940738.2283858245
95,298534.17057042994,0.48760208674486094,0.12750501196644537,-0.059402988002274275,0.411270031551549,621541.56,93.9991,93.2512,0.7479019,713965.6269189039
96,640515.3355124998,0.4467582153869241,0.08724422896285289,0.030461341542588394,0.3057670517916618,623543.0,93.9991,93.1948,0.8042984,1014153.4275803475
97,150886.34670636,0.45672199626659693,0.13772911547626915,-0.03490573647498871,0.411848795773972,621123.1,93.9991,93.4394,0.5597,690363.7552847542
98,298023.54399643,0.49639691342593134,0.12991966813887082,-0.007974249428047359,0.42492159822557385,620137.0,93.9991,93.23,0.7690964,680667.6673476599
99,372864.21908436,0.49472457993126556,0.12484442024498549,0.06045674981281365,0.4142487027813771,619751.25,93.9991,93.1646,0.8345032,696893.5554279776
100,570790.57439529,0.5050250344661115,0.11447166567389669,-0.07297714476007393,0.3682389260701736,621037.3,93.9991,92.9396,1.0595016,707544.656291982
101,1055434.9498265698,0.5255822861830394,0.10270798731872373,-0.1780578024140066,0.3980452021520286,624316.56,93.9991,92.4917,1.5074005,633888.4142323452
102,1331870.6965253595,0.5307194269445027,0.09772277642602607,-0.16024877213423308,0.3755778927398151,628846.1,93.9991,92.3162,1.6828995,648203.0108676859
103,154296.59604343004,0.46180115187828963,0.13892607331856274,-0.0015900605779495978,0.33848406153505944,626711.8,93.9991,93.4263,0.5727997,710326.2062091856
104,404336.77930657007,0.4507214939383487,0.10312643807421606,0.04339192318938561,0.35186020687703096,626846.94,93.9991,93.3042,0.6949005,922291.6738006871
105,376134.53677143,0.5036679036636563,0.12504824193481023,-0.01916673711906248,0.39856436581432525,626533.0,93.9991,93.1529,0.84619904,701450.9732995986
106,153829.48061736,0.47316501924602455,0.1431583898820767,-0.006052707450167424,0.4361392351123708,624151.0,93.9991,93.4069,0.59220123,627588.1556402879
107,659290.8769434296,0.5099391173990483,0.11185921511008495,-0.05553503689054566,0.41786397333810316,625536.8,93.9991,92.8043,1.1948013,647656.7926075802
108,680271.5757713602,0.5120502977350667,0.11135779122588528,-0.18491702570335758,0.40587257471549265,626837.4,93.9991,92.868,1.1311035,678362.6342280062
109,728480.8684444302,0.4570223203506224,0.09119593960786093,-0.006730920982709836,0.33100898241425103,628929.3,93.9991,93.0857,0.91339874,938199.4611808853
110,362174.40168863995,0.4947509167716351,0.12408748018602558,-0.1103732050259989,0.3795940049634882,628629.5,93.9991,93.189,0.81009674,735285.109757868
111,152303.60645736018,0.462178157435159,0.14025975606344213,0.09222454198998793,0.3867273659009402,626471.44,93.9991,93.4368,0.56230164,688106.8240877881
112,553764.7579474304,0.5069173718172193,0.1156005407582001,-0.08115172542845055,0.38393395353755577,627313.1,93.9991,92.9946,1.0045013,718349.0298840562
113,1107536.0911162896,0.47911023460491153,0.09361249064740687,-0.11396574095991532,0.3095705956605264,631132.94,93.9991,92.7188,1.2802963,830096.0657349823
114,357796.5828353602,0.49654706575296265,0.12806021758105096,0.021656976860077656,0.3919655172365256,630770.9,93.9991,93.1124,0.8867035,664819.9084190622
115,567045.4129015005,0.5139420206113652,0.11565932651391442,-0.08747130800313228,0.3821286798039835,631634.0,93.9991,92.9331,1.0660019,685637.6761175024
116,683385.2267224302,0.4813587400356472,0.10472221827550174,-0.035322915133910324,0.39160148540062684,633147.1,93.9991,92.9655,1.0335999,782383.9760404369
117,394768.0125334301,0.47646457841143125,0.11606931516843523,-0.13645676121530237,0.36566482246552934,633050.2,93.9991,93.2194,0.77970123,797370.4809930215
118,2556629.1743173613,0.5372287535318622,0.08469673238062989,-0.17410897020063987,0.3794430433179792,640054.44,93.9991,91.5001,2.4990005,586855.9729243662
119,655142.4145954999,0.527556864056725,0.1129233352112986,-0.10431473354787604,0.4054279280658736,641039.94,93.9991,92.7876,1.2115021,625926.9650394839
120,158682.21373829,0.45940939447024143,0.13646134254694214,0.019807954092549398,0.3922922807580296,639041.6,93.9991,93.4348,0.56430054,707505.5514765126
121,713191.4207234301,0.46029731915039634,0.09385045903695996,0.04608807106735982,0.30512950315651405,640864.8,93.9991,93.0521,0.9469986,909682.5073337314
122,639354.4016495,0.4557626593257389,0.09384223330917953,0.00831729052445623,0.33427700353144274,642234.4,93.9991,93.1575,0.8415985,961648.9687055076
123,160393.91625228993,0.45603572119968605,0.13430730186998283,0.01027317848164848,0.38558456180329737,640252.56,93.9991,93.4387,0.5604019,707512.918454741
124,573694.1769444299,0.5069104148554889,0.11541888896418229,-0.14156941909562815,0.4049630034116292,640869.4,93.9991,92.9861,1.0130005,708151.3312450153
125,575109.5148264299,0.5071136437693108,0.1154267701830546,-0.1589447598956452,0.40076674063891343,641558.3,93.9991,92.9623,1.0367966,701848.5583512143
126,661558.0639262903,0.5167067329589914,0.1131046919231194,-0.011047408726008144,0.388829972869812,642667.2,93.9991,92.8179,1.1811981,662364.1091470753
127,1108785.5621614293,0.4838923733424637,0.0955580891576505,0.09689043109230068,0.3948539519200591,645454.2,93.9991,92.6571,1.3420029,744710.4874827566
128,666212.35195729,0.5111130161514325,0.1116806469238941,-0.04807236571192603,0.3790978851579587,646630.94,93.9991,92.836,1.1631012,685457.4163762265
129,915185.4540492895,0.5151113924785189,0.10585235593417364,-0.05167983576249788,0.3673374010962494,648947.4,93.9991,92.6541,1.3450012,704660.1300503499
130,560395.0351085701,0.514229476028828,0.11624749928073815,0.03711754663470063,0.35909475549814146,649652.4,93.9991,92.9383,1.0607986,698811.7480305629
131,149889.02440942999,0.45572839041645996,0.13833537298469759,0.1932509461632715,0.42660631396297655,647491.8,93.9991,93.4438,0.55529785,656329.4881948543
132,155822.86441356997,0.4643499471430574,0.1392962166109714,0.06614900774799198,0.3787823612992728,645597.06,93.9991,93.4209,0.5782013,683998.3335655752
133,619048.0776454296,0.4551964240792784,0.09862131525070114,0.12071065967990702,0.3205148901191933,646685.3,93.9991,93.1139,0.8852005,894059.2797016469
134,155641.32041236004,0.46144842082633925,0.13936136782062342,0.040695316138717574,0.3843698779026028,644816.7,93.9991,93.4245,0.5746002,686433.9534774948
135,921014.5162645703,0.5183616222836188,0.10527048358982825,-0.09832171522318683,0.4004248288066851,646771.7,93.9991,92.6392,1.3599014,669678.4540751175
136,2541388.110695569,0.538161613106465,0.08512306162152516,-0.12281383046949394,0.3741104048160455,653032.8,93.9991,91.614,2.3851013,630810.3892988231
137,1104292.6117345702,0.4784842663732695,0.09354949972395825,0.07335967445309616,0.3287900921920722,655912.8,93.9991,92.751,1.2481003,841660.0799290948
138,562640.2658612902,0.5112468094872574,0.11669780628360421,-0.1664240296128588,0.39708659460168566,656318.75,93.9991,92.9604,1.0386963,685800.8310937085
139,612463.1585634305,0.4514994099358832,0.09282275852318608,0.037461282459968895,0.3049800349842189,657345.4,93.9991,93.1871,0.81199646,985277.9257743504
140,154170.8544394999,0.45821372114442127,0.13809821151845306,-0.004684908266986998,0.42557107074938316,655372.9,93.9991,93.4416,0.55750275,680219.7634097612
141,1023891.3348194294,0.5208266646512616,0.10331446514726508,-0.09150302406249149,0.4184396828965388,657381.3,93.9991,92.5663,1.4328003,656456.55731636
142,740062.7153213602,0.45930784483517223,0.09233588759015145,-0.036301935744428,0.3348749528879718,658863.75,93.9991,93.0448,0.9542999,911006.9669638317
143,162261.1229635,0.4444248426306323,0.12800990788113706,-0.0017523092939731998,0.37130604890064955,657074.7,93.9991,93.4656,0.5335007,752094.7065052083
144,904471.4730722902,0.5179429249380262,0.10566403380383328,-0.06308599726685804,0.43261219708295034,658628.75,93.9991,92.6369,1.3621979,647783.6348368183
